INFO  2009-05-11T16:06:00,462 net.sf.vanadis.extrt.FrameworkExtenderBundleActivator: FrameworkExtenderBundleActivator[] created [main]
INFO  2009-05-11T16:06:01,699 net.sf.vanadis.osgi.impl.OSGiContext: OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000] registered OSGiRegistration[net.sf.vanadis.extrt.ObjectManagerExposePointMBeanImpl@4129a635 prop:ServiceProperties[[net.sf.vanadis.ext.ObjectManagerExposePointMBean]:MapPropertySet[[vanadis.objectname=net.sf.vanadis.modules.log.SimpleLogService:type=logservice,name=logservice,feature=logservice objectClass=[Ljava.lang.String;@155f02ff] writable:false]] reg:org.apache.felix.framework.ServiceRegistrationImpl@62b08658] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,700 net.sf.vanadis.extrt.ObjectManagerImpl: ObjectManagerImpl[SimpleLogService[] state:ObjectManagerState[NEWBORN] context:OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000]] setup managed features: [logservice] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,706 net.sf.vanadis.osgi.impl.OSGiContext: OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000] registered OSGiRegistration[ObjectManagerImpl[SimpleLogService[] state:ObjectManagerState[NEWBORN] context:OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000]] prop:ServiceProperties[[net.sf.vanadis.ext.ObjectManager]:MapPropertySet[[vanadis.objectmanager.name=logservice vanadis.objectmanager.type=logservice objectClass=[Ljava.lang.String;@468c8255] writable:false]] reg:org.apache.felix.framework.ServiceRegistrationImpl@71658ade] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,707 net.sf.vanadis.osgi.impl.OSGiContext: OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000] registered OSGiRegistration[ObjectManagerMBeanImpl[ObjectManagerImpl[SimpleLogService[] state:ObjectManagerState[NEWBORN] context:OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000]]] prop:ServiceProperties[[net.sf.vanadis.ext.ObjectManagerMBean]:MapPropertySet[[vanadis.objectname=net.sf.vanadis.modules.log.SimpleLogService:type=logservice-manager,name=logservice objectClass=[Ljava.lang.String;@263d0564] writable:false]] reg:org.apache.felix.framework.ServiceRegistrationImpl@30e317a7] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,717 net.sf.vanadis.extrt.ObjectManagerState: ObjectManagerState[CONFIGURED] completed transition to CONFIGURED [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,717 net.sf.vanadis.extrt.SystemEventsImpl: SystemEventsImpl[types:[]] notified of state change in ObjectManagerImpl[SimpleLogService[] state:ObjectManagerState[CONFIGURED] context:OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000]] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,718 net.sf.vanadis.extrt.ObjectManagerState: ObjectManagerState[RESOLVING_DEPENDENCIES] completed transition to RESOLVING_DEPENDENCIES [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,718 net.sf.vanadis.extrt.SystemEventsImpl: SystemEventsImpl[types:[]] notified of state change in ObjectManagerImpl[SimpleLogService[] state:ObjectManagerState[RESOLVING_DEPENDENCIES] context:OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000]] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,718 net.sf.vanadis.extrt.ObjectManagerState: ObjectManagerState[DEPENDENCIES_RESOLVED] completed transition to DEPENDENCIES_RESOLVED [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,718 net.sf.vanadis.extrt.SystemEventsImpl: SystemEventsImpl[types:[]] notified of state change in ObjectManagerImpl[SimpleLogService[] state:ObjectManagerState[DEPENDENCIES_RESOLVED] context:OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000]] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
